url,location,check_in,check_out,adults,children,rooms,id,title,address,city,review_score,review_count,image,final_price,original_price,currency,tax_description,nb_livingrooms,nb_kitchens,nb_bedrooms,nb_all_beds,full_location,no_prepayment,free_cancellation,property_sustainability
"https://www.booking.com/hotel/at/norling-guest-house-wien.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"12550415","Norling Guest House","In der Klausen","Wien",7,"46","https://cf.bstatic.com/xdata/images/hotel/square600/584548021.webp?k=62702435c5ca6097b86293ef16fb6f3e4fcb8f570db9a7ac8c8e39938f132da3&o=",953,953,"USD","",1,0,2,3,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""23. Liesing, Vienna"",""main_distance"":""7.7 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/city-apartment-landstrasse.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"1527025","The Barts Apartments - Self Check-in","Würtzlerstrasse 12","Wien",8.6,"399","https://cf.bstatic.com/xdata/images/hotel/square240/60132203.webp?k=d1e8b39b925a0132af08a19cfd0e494309a57d828e5e9f9256943d5ed9fc64ed&o=",1016,1016,"USD","",0,1,1,1,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""03. Landstraße, Vienna"",""main_distance"":""1.9 miles from downtown"",""nearby_beach_names"":[]}",false,false,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/entzuckende-1-zimmer-wohnung-u-bahn-nahe.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"9551337","Delightful Apartment - near subway","28 Theresiengasse","Wien",7.6,"13","",1475,1475,"USD","",0,1,1,1,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""18. Währing, Vienna"",""main_distance"":""1.7 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/aesthetic-newly-renovated-apartment-near-belvedere.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"9953437","Aesthetic newly renovated apartment located near Belvedere Castle, 15 minutes from Stephansplatz","Fasangasse","Wien",9,"28","https://cf.bstatic.com/xdata/images/hotel/square240/451619963.webp?k=a63b11b5969df79e7da97493b743ffcfad072554107d169ca10960d56cbd5b32&o=",1322,1556,"USD","",1,1,1,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""03. Landstraße, Vienna"",""main_distance"":""1.3 miles from downtown"",""nearby_beach_names"":[]}",false,false,"{""facilities"":[""435"",""439"",""440"",""441"",""442"",""443"",""448"",""489"",""492"",""495""],""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/apartment-14-wien.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"2187679","Apartment house in Vienna","Buchengasse 84","Wien",8.3,"1217","",1705,2131,"USD","",0,1,2,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""10. Favoriten, Vienna"",""main_distance"":""2.3 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/kreiner-apartment.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"11737899","Reiner Apartment","93 Hernalser Hauptstraße","Wien",7.3,"36","https://cf.bstatic.com/xdata/images/hotel/square240/552460230.jpg?k=7fd213dcabba0573caae5d78f8d8d90dec92059849ac8fb5136a20535f368b7d&o=",946,946,"USD","",0,0,1,1,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""17. Hernals, Vienna"",""main_distance"":""2.3 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/deluxe-apartment-mit-suite.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"13093885","Deluxe Apartment mit Suite","Paulinengasse 5/int 6 piano 1","Wien",0,"","https://cf.bstatic.com/xdata/images/hotel/square240/613789907.jpg?k=75c1fbf17b8a9174c9e0ecbd7386d1ed447460b25887696bda43c80ea9f49f5c&o=",1544,1544,"USD","",1,1,2,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""18. Währing, Vienna"",""main_distance"":""2.3 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/grosszugige-wohnung-mit-terrasse-wien.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"11866709","Großzügige Wohnung mit Terrasse","3 Calvigasse","Wien",8.7,"3","https://cf.bstatic.com/xdata/images/hotel/square600/565751254.webp?k=8660389f0bcbe3d8565b78642e76131fc39d774d5c1e9638fde1fd511bfed4b4&o=",907,1007,"USD","",0,1,1,1,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""23. Liesing, Vienna"",""main_distance"":""5.4 miles from downtown"",""nearby_beach_names"":[]}",false,false,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/spacious-apartment-near-main-station.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"10353443","Designer Apartment Near Main Station","Margareten","Wien",8.4,"209","https://cf.bstatic.com/xdata/images/hotel/square600/475311412.webp?k=8d6d685a35301c08b4954525adf9e83b4f5de82779a767d3c9a3db2457db3c86&o=",1767,2804,"USD","",1,1,2,4,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""05. Margareten, Vienna"",""main_distance"":""1.7 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":[""435"",""436"",""439"",""440"",""441"",""442"",""443"",""445"",""446"",""448"",""489"",""490"",""492"",""493"",""494"",""495"",""496"",""497"",""498"",""499"",""500"",""501"",""503"",""505"",""506""],""is_sustainable"":true,""level_id"":""L2""}"
"https://www.booking.com/hotel/at/top-62.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"13170477","ST Apartment one room apartment","Quellenstraße ","Wien",8,"1","",1240,1240,"USD","",1,1,1,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""10. Favoriten, Vienna"",""main_distance"":""2.4 miles from downtown"",""nearby_beach_names"":[]}",false,false,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/dolce-duo-homes-dalia.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"10874999","Dalia - Dolce Duo Homes","Leopold-Ernst-Gasse 3/20","Wien",8.7,"6","https://cf.bstatic.com/xdata/images/hotel/square240/497198671.jpg?k=896a48e2298e4f4bfb66a13eec43885846e181549247a3354b8d7461822ef60b&o=",1001,1001,"USD","",0,1,1,1,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""17. Hernals, Vienna"",""main_distance"":""1.9 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/faraway-studios-43-wien.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"12737772","Faraway Studios 43","Ameisgasse 43","Wien",6.4,"12","",1260,1483,"USD","",0,1,1,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""14. Penzing, Vienna"",""main_distance"":""3.6 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/apartment-cool.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"12596588","Apartment Cool","Arnethgasse 98/2","Wien",8.1,"8","",864,864,"USD","",1,0,1,3,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""16. Ottakring, Vienna"",""main_distance"":""3 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/king-bed-home-netflix-perfect-for-groups-of-6.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"8469570","Designer Apartment, 5 min to City Center","Brigittenau, 1200","Wien",7.1,"177","https://cf.bstatic.com/xdata/images/hotel/square240/402453450.jpg?k=26bcdecf27aa8a2cbd27ba374430f27778999fa720c796ae0fe793fbd7113591&o=",1211,1922,"USD","",0,1,1,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""20. Brigittenau, Vienna"",""main_distance"":""1.3 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":[""435"",""436"",""439"",""440"",""441"",""442"",""443"",""445"",""446"",""448"",""489"",""490"",""492"",""493"",""494"",""495"",""496"",""497"",""498"",""499"",""500"",""501"",""503"",""505"",""506""],""is_sustainable"":true,""level_id"":""L2""}"
"https://www.booking.com/hotel/at/city-apartment-2-min-bis-u1-reumannplatz.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"10762801","City Apartment - 2 min to U1 Reumannplatz","Favoriten, 1100 Wien","Wien",7.1,"33","",970,1539,"USD","",0,1,1,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""10. Favoriten, Vienna"",""main_distance"":""2.5 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/penthouse-near-central-station-with-free-parking.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"11153291","Penthouse near Central Station with free parking","2 Erlachplatz","Wien",9.3,"96","https://cf.bstatic.com/xdata/images/hotel/square240/509929033.webp?k=1fb1f64ff3c1123e44e8c6293d628159849cbd81e597e045c51c86f0e0bfe1de&o=",2192,2192,"USD","",1,1,1,3,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""10. Favoriten, Vienna"",""main_distance"":""2.1 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":null,""is_sustainable"":false,""level_id"":""L0""}"
"https://www.booking.com/hotel/at/ferienwohnung-in-wien-wien.html?checkin=2025-01-01&checkout=2025-01-10&group_adults=1&no_rooms=1&group_children=","Vienna","""2025-01-01T00:00:00.000Z""","""2025-01-10T00:00:00.000Z""",1,"",1,"1888736","Nordrand-Apartment","Pastorstrasse 32; Top 32","Wien",8.9,"22","https://cf.bstatic.com/xdata/images/hotel/square240/74965534.webp?k=3d19808a29a3c76e350447f9855ef4f4214a947ed0cb6a9a556f42aa0111ad30&o=",1287,1287,"USD","",1,1,1,2,"{""beach_distance"":null,""description"":""This is the straight-line distance on the map. Actual travel distance may vary."",""display_location"":""21. Floridsdorf, Vienna"",""main_distance"":""5.6 miles from downtown"",""nearby_beach_names"":[]}",false,true,"{""facilities"":[""436"",""445"",""496""],""is_sustainable"":false,""level_id"":""L0""}"
